MJD-2450000	SCFL	SCER
5296.0	17513.85	6.9684
5296.0	17520.12	6.9684
5296.0	17517.84	6.9684
5296.0	17522.30	6.9685
5296.0	17514.04	6.9685
5296.0	17503.78	6.9685
5296.0	17505.37	6.9685
5296.0	17509.95	6.9685
5296.2	17523.57	6.9685
5296.2	17510.40	6.9683
5296.2	17533.23	6.9683
5296.2	17519.01	6.9682
5296.2	17528.27	6.9681
5296.2	17510.93	6.9680
5296.2	17522.94	6.9680
5296.2	17517.05	6.9679
5296.2	17521.16	6.9678
5296.2	17537.64	6.9678
5296.2	17525.97	6.9677
5296.5	17514.39	6.9677
5296.5	17524.32	6.9676
5296.5	17512.95	6.9675
5296.5	17523.21	6.9675
